Unnamed: 0,arch_id,conf
0,0,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|', 'num_classes': 120}"
1,1,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|', 'num_classes': 120}"
2,2,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|', 'num_classes': 120}"
3,3,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|', 'num_classes': 120}"
4,4,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|', 'num_classes': 120}"
5,5,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|', 'num_classes': 120}"
6,6,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|', 'num_classes': 120}"
7,7,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|', 'num_classes': 120}"
8,8,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|', 'num_classes': 120}"
9,9,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|', 'num_classes': 120}"
10,10,"{'name': 'infer.tiny', 'C': 16, 'N': 5, 'arch_str': '|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|', 'num_classes': 120}"
